Accuracy for epoch 0 is 0.5289255976676941, precision is 0.5086206793785095
Accuracy for epoch 1 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 2 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 3 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 4 is 0.38842976093292236, precision is 0.0
Accuracy for epoch 5 is 0.5123966932296753, precision is 0.0
Accuracy for epoch 6 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 7 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 8 is 0.5123966932296753, precision is 0.0
Accuracy for epoch 9 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 10 is 0.4958677589893341, precision is 0.4000000059604645
Accuracy for epoch 11 is 0.5123966932296753, precision is 0.0
Accuracy for epoch 12 is 0.5785123705863953, precision is 0.5370370149612427
Accuracy for epoch 13 is 0.4876033067703247, precision is 0.4876033067703247
Accuracy for epoch 14 is 0.4876033067703247, precision is 0.4876033067703247
