Accuracy for epoch 0 is 0.5289255976676941, precision is 0.5099999904632568
Accuracy for epoch 1 is 0.5123966932296753, precision is 0.5
Accuracy for epoch 2 is 0.4876033067703247, precision is 0.4819277226924896
Accuracy for epoch 3 is 0.5041322112083435, precision is 0.4957983195781708
Accuracy for epoch 4 is 0.5454545617103577, precision is 0.5232558250427246
Accuracy for epoch 5 is 0.5619834661483765, precision is 0.5365853905677795
Accuracy for epoch 6 is 0.5289255976676941, precision is 0.5116279125213623
Accuracy for epoch 7 is 0.5619834661483765, precision is 0.5333333611488342
Accuracy for epoch 8 is 0.6198347210884094, precision is 0.5698924660682678
Accuracy for epoch 9 is 0.5950413346290588, precision is 0.5490196347236633
Accuracy for epoch 10 is 0.586776852607727, precision is 0.5436893105506897
Accuracy for epoch 11 is 0.6033057570457458, precision is 0.5544554591178894
Accuracy for epoch 12 is 0.586776852607727, precision is 0.5436893105506897
Accuracy for epoch 13 is 0.5619834661483765, precision is 0.5283018946647644
Accuracy for epoch 14 is 0.5950413346290588, precision is 0.5490196347236633
Accuracy for epoch 15 is 0.5950413346290588, precision is 0.550000011920929
Accuracy for epoch 16 is 0.5950413346290588, precision is 0.5490196347236633
Accuracy for epoch 17 is 0.6033057570457458, precision is 0.5544554591178894
Accuracy for epoch 18 is 0.6280992031097412, precision is 0.5714285969734192
Accuracy for epoch 19 is 0.5950413346290588, precision is 0.5490196347236633
Accuracy for epoch 20 is 0.6033057570457458, precision is 0.5555555820465088
Accuracy for epoch 21 is 0.6115702390670776, precision is 0.5612244606018066
Accuracy for epoch 22 is 0.6115702390670776, precision is 0.5612244606018066
Accuracy for epoch 23 is 0.6280992031097412, precision is 0.5699999928474426
Accuracy for epoch 24 is 0.6033057570457458, precision is 0.553398072719574
Accuracy for epoch 25 is 0.6611570119857788, precision is 0.59375
Accuracy for epoch 26 is 0.6280992031097412, precision is 0.5699999928474426
Accuracy for epoch 27 is 0.5950413346290588, precision is 0.5471698045730591
Accuracy for epoch 28 is 0.6033057570457458, precision is 0.5523809790611267
Accuracy for epoch 29 is 0.586776852607727, precision is 0.5420560836791992
Accuracy for epoch 30 is 0.6115702390670776, precision is 0.557692289352417
Accuracy for epoch 31 is 0.5950413346290588, precision is 0.5471698045730591
Accuracy for epoch 32 is 0.586776852607727, precision is 0.5420560836791992
Accuracy for epoch 33 is 0.5702479481697083, precision is 0.5321100950241089
Accuracy for epoch 34 is 0.5619834661483765, precision is 0.5272727012634277
Accuracy for epoch 35 is 0.5702479481697083, precision is 0.5321100950241089
Accuracy for epoch 36 is 0.5950413346290588, precision is 0.5471698045730591
Accuracy for epoch 37 is 0.5785123705863953, precision is 0.5370370149612427
Accuracy for epoch 38 is 0.5950413346290588, precision is 0.5471698045730591
Accuracy for epoch 39 is 0.5702479481697083, precision is 0.5321100950241089
Accuracy for epoch 40 is 0.5619834661483765, precision is 0.5272727012634277
Accuracy for epoch 41 is 0.6198347210884094, precision is 0.5631067752838135
Accuracy for epoch 42 is 0.6280992031097412, precision is 0.5686274766921997
Accuracy for epoch 43 is 0.64462810754776, precision is 0.5799999833106995
Accuracy for epoch 44 is 0.6280992031097412, precision is 0.5686274766921997
Accuracy for epoch 45 is 0.6198347210884094, precision is 0.5631067752838135
Accuracy for epoch 46 is 0.6363636255264282, precision is 0.5742574334144592
Accuracy for epoch 47 is 0.6115702390670776, precision is 0.5588235259056091
Accuracy for epoch 48 is 0.6198347210884094, precision is 0.5631067752838135
Accuracy for epoch 49 is 0.6115702390670776, precision is 0.5588235259056091
Accuracy for epoch 50 is 0.6280992031097412, precision is 0.5686274766921997
Accuracy for epoch 51 is 0.6198347210884094, precision is 0.5631067752838135
Accuracy for epoch 52 is 0.6115702390670776, precision is 0.5588235259056091
Accuracy for epoch 53 is 0.6528925895690918, precision is 0.5876288414001465
Accuracy for epoch 54 is 0.6033057570457458, precision is 0.553398072719574
Accuracy for epoch 55 is 0.5950413346290588, precision is 0.5480769276618958
Accuracy for epoch 56 is 0.5950413346290588, precision is 0.5480769276618958
Accuracy for epoch 57 is 0.6033057570457458, precision is 0.553398072719574
Accuracy for epoch 58 is 0.5950413346290588, precision is 0.5480769276618958
Accuracy for epoch 59 is 0.6115702390670776, precision is 0.5600000023841858
Accuracy for epoch 60 is 0.586776852607727, precision is 0.5436893105506897
Accuracy for epoch 61 is 0.5950413346290588, precision is 0.5490196347236633
Accuracy for epoch 62 is 0.6033057570457458, precision is 0.5544554591178894
Accuracy for epoch 63 is 0.586776852607727, precision is 0.5436893105506897
Accuracy for epoch 64 is 0.6115702390670776, precision is 0.5588235259056091
Accuracy for epoch 65 is 0.6033057570457458, precision is 0.5544554591178894
Accuracy for epoch 66 is 0.6033057570457458, precision is 0.5544554591178894
Accuracy for epoch 67 is 0.6280992031097412, precision is 0.5714285969734192
Accuracy for epoch 68 is 0.6198347210884094, precision is 0.5656565427780151
Accuracy for epoch 69 is 0.6363636255264282, precision is 0.5773195624351501
Accuracy for epoch 70 is 0.6198347210884094, precision is 0.5656565427780151
Accuracy for epoch 71 is 0.6611570119857788, precision is 0.59375
Accuracy for epoch 72 is 0.6198347210884094, precision is 0.5656565427780151
Accuracy for epoch 73 is 0.6694214940071106, precision is 0.6000000238418579
Accuracy for epoch 74 is 0.6528925895690918, precision is 0.5894736647605896
Accuracy for epoch 75 is 0.6528925895690918, precision is 0.5894736647605896
Accuracy for epoch 76 is 0.6528925895690918, precision is 0.5913978219032288
Accuracy for epoch 77 is 0.6611570119857788, precision is 0.5978260636329651
Accuracy for epoch 78 is 0.64462810754776, precision is 0.585106372833252
Accuracy for epoch 79 is 0.6528925895690918, precision is 0.5913978219032288
Accuracy for epoch 80 is 0.6611570119857788, precision is 0.5957446694374084
Accuracy for epoch 81 is 0.6694214940071106, precision is 0.602150559425354
Accuracy for epoch 82 is 0.6694214940071106, precision is 0.6043956279754639
Accuracy for epoch 83 is 0.6859503984451294, precision is 0.617977499961853
Accuracy for epoch 84 is 0.6611570119857788, precision is 0.5978260636329651
Accuracy for epoch 85 is 0.6942148804664612, precision is 0.625
Accuracy for epoch 86 is 0.5785123705863953, precision is 0.5476190447807312
Accuracy for epoch 87 is 0.6528925895690918, precision is 0.5894736647605896
Accuracy for epoch 88 is 0.702479362487793, precision is 0.6321839094161987
Accuracy for epoch 89 is 0.7272727489471436, precision is 0.6585366129875183
Accuracy for epoch 90 is 0.7685950398445129, precision is 0.7066666483879089
Accuracy for epoch 91 is 0.7355371713638306, precision is 0.6753246784210205
Accuracy for epoch 92 is 0.7520661354064941, precision is 0.6933333277702332
Accuracy for epoch 93 is 0.7520661354064941, precision is 0.7042253613471985
Accuracy for epoch 94 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 95 is 0.7768595218658447, precision is 0.7162162065505981
Accuracy for epoch 96 is 0.7685950398445129, precision is 0.7246376872062683
Accuracy for epoch 97 is 0.7355371713638306, precision is 0.6849315166473389
Accuracy for epoch 98 is 0.7685950398445129, precision is 0.7183098793029785
Accuracy for epoch 99 is 0.7603305578231812, precision is 0.7027027010917664
Accuracy for epoch 100 is 0.7603305578231812, precision is 0.7083333134651184
Accuracy for epoch 101 is 0.7438016533851624, precision is 0.6891891956329346
Accuracy for epoch 102 is 0.7685950398445129, precision is 0.7123287916183472
Accuracy for epoch 103 is 0.7768595218658447, precision is 0.7285714149475098
Accuracy for epoch 104 is 0.7438016533851624, precision is 0.6891891956329346
Accuracy for epoch 105 is 0.7933884263038635, precision is 0.7297297120094299
Accuracy for epoch 106 is 0.7851239442825317, precision is 0.7323943376541138
Accuracy for epoch 107 is 0.7603305578231812, precision is 0.7027027010917664
Accuracy for epoch 108 is 0.7768595218658447, precision is 0.7222222089767456
Accuracy for epoch 109 is 0.7768595218658447, precision is 0.7105262875556946
Accuracy for epoch 110 is 0.7603305578231812, precision is 0.692307710647583
Accuracy for epoch 111 is 0.7685950398445129, precision is 0.7066666483879089
Accuracy for epoch 112 is 0.7768595218658447, precision is 0.7105262875556946
Accuracy for epoch 113 is 0.702479362487793, precision is 0.6352941393852234
Accuracy for epoch 114 is 0.7768595218658447, precision is 0.7222222089767456
Accuracy for epoch 115 is 0.7851239442825317, precision is 0.746268630027771
Accuracy for epoch 116 is 0.7272727489471436, precision is 0.6710526347160339
Accuracy for epoch 117 is 0.7603305578231812, precision is 0.7083333134651184
